2003,Newcastle United,Eng,Feyenoord,Ned,0,1
2003,Feyenoord,Ned,Newcastle United,Eng,2,3
2003,Juventus,Ita,Dinamo Kiev,Ukr,5,0
2003,Dinamo Kiev,Ukr,Juventus,Ita,1,2
2003,Juventus,Ita,Newcastle United,Eng,2,0
2003,Newcastle United,Eng,Juventus,Ita,1,0
2003,Feyenoord,Ned,Dinamo Kiev,Ukr,0,0
2003,Dinamo Kiev,Ukr,Feyenoord,Ned,2,0
2003,Manchester United,Eng,Maccabi Haifa,Isr,5,2
2003,Maccabi Haifa,Isr,Manchester United,Eng,3,0
2003,Olympiakos Piraeus,Gre,Bayer Leverkusen,Ger,6,2
2003,Bayer Leverkusen,Ger,Olympiakos Piraeus,Gre,2,0
2003,Bayer Leverkusen,Ger,Manchester United,Eng,1,2
2003,Manchester United,Eng,Bayer Leverkusen,Ger,2,0
2003,Maccabi Haifa,Isr,Olympiakos Piraeus,Gre,3,0
2003,Olympiakos Piraeus,Gre,Maccabi Haifa,Isr,3,3
2003,Maccabi Haifa,Isr,Bayer Leverkusen,Ger,0,2
2003,Bayer Leverkusen,Ger,Maccabi Haifa,Isr,2,1
2003,Manchester United,Eng,Olympiakos Piraeus,Gre,4,0
2003,Olympiakos Piraeus,Gre,Manchester United,Eng,2,3
2003,Bayern München,Ger,Deportivo La Coruña,Esp,2,3
2003,Deportivo La Coruña,Esp,Bayern München,Ger,2,1
2003,AC Milan,Ita,RC Lens,Fra,2,1
2003,RC Lens,Fra,AC Milan,Ita,2,1
2003,RC Lens,Fra,Bayern München,Ger,1,1
2003,Bayern München,Ger,RC Lens,Fra,3,3
2003,Deportivo La Coruña,Esp,AC Milan,Ita,0,4
2003,AC Milan,Ita,Deportivo La Coruña,Esp,1,2
2003,Deportivo La Coruña,Esp,RC Lens,Fra,3,1
2003,RC Lens,Fra,Deportivo La Coruña,Esp,3,1
2003,Bayern München,Ger,AC Milan,Ita,1,2
2003,AC Milan,Ita,Bayern München,Ger,2,1
2003,Lokomotiv Moscow,Rus,Galatasaray,Tur,0,2
2003,Galatasaray,Tur,Lokomotiv Moscow,Rus,1,2
2003,FC Barcelona,Esp,Club Brugge,Bel,3,2
2003,Club Brugge,Bel,FC Barcelona,Esp,0,1
2003,Club Brugge,Bel,Lokomotiv Moscow,Rus,0,0
2003,Lokomotiv Moscow,Rus,Club Brugge,Bel,2,0
2003,Galatasaray,Tur,FC Barcelona,Esp,0,2
2003,FC Barcelona,Esp,Galatasaray,Tur,3,1
2003,Galatasaray,Tur,Club Brugge,Bel,0,0
2003,Club Brugge,Bel,Galatasaray,Tur,3,1
2003,Lokomotiv Moscow,Rus,FC Barcelona,Esp,1,3
2003,FC Barcelona,Esp,Lokomotiv Moscow,Rus,1,0
2003,Newcastle United,Eng,Internazionale,Ita,1,4
2003,Internazionale,Ita,Newcastle United,Eng,2,2
2003,Bayer Leverkusen,Ger,FC Barcelona,Esp,1,2
2003,FC Barcelona,Esp,Bayer Leverkusen,Ger,2,0
2003,Internazionale,Ita,Bayer Leverkusen,Ger,3,2
2003,Bayer Leverkusen,Ger,Internazionale,Ita,0,2
2003,FC Barcelona,Esp,Newcastle United,Eng,3,1
2003,Newcastle United,Eng,FC Barcelona,Esp,0,2
2003,FC Barcelona,Esp,Internazionale,Ita,3,0
2003,Internazionale,Ita,FC Barcelona,Esp,0,0
2003,Bayer Leverkusen,Ger,Newcastle United,Eng,1,3
2003,Newcastle United,Eng,Bayer Leverkusen,Ger,3,1
2003,Valencia,Esp,Ajax,Ned,1,1
2003,Ajax,Ned,Valencia,Esp,1,1
2003,AS Roma,Ita,Arsenal,Eng,1,3
2003,Arsenal,Eng,AS Roma,Ita,1,1
2003,Arsenal,Eng,Valencia,Esp,0,0
2003,Valencia,Esp,Arsenal,Eng,2,1
2003,Ajax,Ned,AS Roma,Ita,2,1
2003,AS Roma,Ita,Ajax,Ned,1,1
2003,Arsenal,Eng,Ajax,Ned,1,1
2003,Ajax,Ned,Arsenal,Eng,0,0
2003,AS Roma,Ita,Valencia,Esp,0,1
2003,Valencia,Esp,AS Roma,Ita,0,3
2003,Lokomotiv Moscow,Rus,Borussia Dortmund,Ger,1,2
2003,Borussia Dortmund,Ger,Lokomotiv Moscow,Rus,3,0
2003,AC Milan,Ita,Real Madrid,Esp,1,0
2003,Real Madrid,Esp,AC Milan,Ita,3,1
2003,Borussia Dortmund,Ger,AC Milan,Ita,0,1
2003,AC Milan,Ita,Borussia Dortmund,Ger,0,1
2003,Real Madrid,Esp,Lokomotiv Moscow,Rus,2,2
2003,Lokomotiv Moscow,Rus,Real Madrid,Esp,0,1
2003,Real Madrid,Esp,Borussia Dortmund,Ger,2,1
2003,Borussia Dortmund,Ger,Real Madrid,Esp,1,1
2003,AC Milan,Ita,Lokomotiv Moscow,Rus,1,0
2003,Lokomotiv Moscow,Rus,AC Milan,Ita,0,1
2003,Deportivo La Coruña,Esp,Juventus,Ita,2,2
2003,Juventus,Ita,Deportivo La Coruña,Esp,3,2
2003,FC Basel,Sui,Manchester United,Eng,1,3
2003,Manchester United,Eng,FC Basel,Sui,1,1
2003,Manchester United,Eng,Deportivo La Coruña,Esp,2,0
2003,Deportivo La Coruña,Esp,Manchester United,Eng,2,0
2003,Juventus,Ita,FC Basel,Sui,4,0
2003,FC Basel,Sui,Juventus,Ita,2,1
2003,Manchester United,Eng,Juventus,Ita,2,1
2003,Juventus,Ita,Manchester United,Eng,0,3
2003,FC Basel,Sui,Deportivo La Coruña,Esp,1,0
2003,Deportivo La Coruña,Esp,FC Basel,Sui,1,0
2003,Real Madrid,Esp,Manchester United,Eng,3,1
2003,Manchester United,Eng,Real Madrid,Esp,4,3
2003,Ajax,Ned,AC Milan,Ita,0,0
2003,AC Milan,Ita,Ajax,Ned,3,2
2003,Internazionale,Ita,Valencia,Esp,1,0
2003,Valencia,Esp,Internazionale,Ita,2,1
2003,Juventus,Ita,FC Barcelona,Esp,1,1
2003,FC Barcelona,Esp,Juventus,Ita,1,2
2003,Real Madrid,Esp,Juventus,Ita,2,1
2003,Juventus,Ita,Real Madrid,Esp,3,1
2003,AC Milan,Ita,Internazionale,Ita,0,0
2003,Internazionale,Ita,AC Milan,Ita,1,1
2003,AC Milan,Ita,Juventus,Ita,0,0
2003,Penalty shootout: AC Milan - Juventus,Penalty shootout: AC Milan - Juventus,Penalty shootout: AC Milan - Juventus,Penalty shootout: AC Milan - Juventus,Penalty shootout: AC Milan , Juventus
2003,Penalty shootout: AC Milan - Juventus,Penalty shootout: AC Milan - Juventus,Penalty shootout: AC Milan - Juventus,Penalty shootout: AC Milan - Juventus,2,3
