2002,Manchester United,Eng,Deportivo La Coruña,Esp,2,3
2002,Lille OSC,Fra,Olympiakos Piraeus,Gre,3,1
2002,Olympiakos Piraeus,Gre,Lille OSC,Fra,2,1
2002,Sparta Praha,Cze,Spartak Moscow,Rus,2,0
2002,Spartak Moscow,Rus,Sparta Praha,Cze,2,2
2002,Feyenoord,Ned,Bayern München,Ger,2,2
2002,Bayern München,Ger,Feyenoord,Ned,3,1
2002,Bayern München,Ger,Sparta Praha,Cze,0,0
2002,Sparta Praha,Cze,Bayern München,Ger,0,1
2002,Spartak Moscow,Rus,Feyenoord,Ned,2,2
2002,Feyenoord,Ned,Spartak Moscow,Rus,2,1
2002,Spartak Moscow,Rus,Bayern München,Ger,1,3
2002,Bayern München,Ger,Spartak Moscow,Rus,5,1
2002,Sparta Praha,Cze,Feyenoord,Ned,4,0
2002,Feyenoord,Ned,Sparta Praha,Cze,0,2
2002,Bayern München,Ger,Manchester United,Eng,1,1
2002,Manchester United,Eng,Bayern München,Ger,0,0
2002,Boavista,Por,FC Nantes,Fra,1,0
2002,FC Nantes,Fra,Boavista,Por,1,1
2002,Manchester United,Eng,Boavista,Por,3,0
2002,Boavista,Por,Manchester United,Eng,0,3
2002,FC Nantes,Fra,Bayern München,Ger,0,1
2002,Bayern München,Ger,FC Nantes,Fra,2,1
2002,FC Nantes,Fra,Manchester United,Eng,1,1
2002,Manchester United,Eng,FC Nantes,Fra,5,1
2002,Boavista,Por,Bayern München,Ger,0,0
2002,Bayern München,Ger,Boavista,Por,1,0
2002,Galatasaray,Tur,AS Roma,Ita,1,1
2002,AS Roma,Ita,Galatasaray,Tur,1,1
2002,Liverpool,Eng,FC Barcelona,Esp,1,3
2002,FC Barcelona,Esp,Liverpool,Eng,0,0
2002,AS Roma,Ita,Liverpool,Eng,0,0
2002,Liverpool,Eng,AS Roma,Ita,2,0
2002,FC Barcelona,Esp,Galatasaray,Tur,2,2
2002,Galatasaray,Tur,FC Barcelona,Esp,0,1
2002,FC Barcelona,Esp,AS Roma,Ita,1,1
2002,AS Roma,Ita,FC Barcelona,Esp,3,0
2002,Liverpool,Eng,Galatasaray,Tur,0,0
2002,Galatasaray,Tur,Liverpool,Eng,1,1
2002,Panathinaikos,Gre,FC Porto,Por,0,0
2002,FC Porto,Por,Panathinaikos,Gre,2,1
2002,Sparta Praha,Cze,Real Madrid,Esp,2,3
2002,Real Madrid,Esp,Sparta Praha,Cze,3,0
2002,FC Porto,Por,Sparta Praha,Cze,0,1
2002,Sparta Praha,Cze,FC Porto,Por,2,0
2002,Real Madrid,Esp,Panathinaikos,Gre,3,0
2002,Panathinaikos,Gre,Real Madrid,Esp,2,2
2002,Real Madrid,Esp,FC Porto,Por,1,0
2002,FC Porto,Por,Real Madrid,Esp,1,2
2002,Sparta Praha,Cze,Panathinaikos,Gre,0,2
